num	zipcode	name
756.0	50024	Almonacid de la Sierra
885.0	45012	Almonacid de Toledo
659.0	19022	Almonacid de Zorita
424.0	16018	Almonacid del Marquesado
1785.0	21004	Almonaster la Real
25448.0	21005	Almonte
21401.0	3015	Almoradí
2317.0	45013	Almorox
1334.0	43011	Almoster
112.0	3016	Almudaina
2394.0	22021	Almudévar
7943.0	50025	Almunia de Doña Godina
707.0	22022	Almunia de San Juan
453.0	22023	Almuniente
26748.0	18017	Almuñécar
740.0	13016	Almuradiel
8929.0	46035	Almussafes
67.0	44019	Alobras
159.0	19023	Alocén
2960.0	48912	Alonsotegi
13382.0	29012	Álora
121.0	25022	Alòs de Balaguer
3940.0	21006	Alosno
13142.0	19024	Alovera
2089.0	29013	Alozaina
1717.0	17006	Alp
266.0	29014	Alpandeire
53.0	42023	Alpanseque
602.0	50026	Alpartir
15006.0	28010	Alpedrete
281.0	8004	Alpens
20.0	44020	Alpeñés
2245.0	2010	Alpera
6333.0	25023	Alpicat
670.0	46036	Alpuente
922.0	18904	Alpujarra de la Sierra
489.0	3017	Alqueria d'Asnar
1478.0	46037	Alqueria de la Comtessa
4511.0	12901	Alqueries
354.0	22024	Alquézar
586.0	18018	Alquife
129.0	4015	Alsodux
441.0	25024	Alt Àneu
47.0	9013	Altable
5609.0	43012	Altafulla
205.0	16019	Altarejos
23010.0	3018	Altea
1416.0	22025	Altorricón
178.0	9014	Altos
7504.0	31010	Altsasu/Alsasua
3667.0	12012	Altura
178.0	20906	Altzaga
428.0	20007	Altzo
145.0	19027	Alustante
45451.0	46017	Alzira
133.0	5012	Amavida
40.0	34009	Amayuelas de Arriba
253.0	50027	Ambel
648.0	28011	Ambite
2422.0	17007	Amer
32095.0	15002	Ames
732.0	31013	Améscoa Baja
7209.0	43013	Ametlla de Mar
9020.0	8005	Ametlla del Vallès
121.0	9016	Ameyugo
948.0	20008	Amezketa
603.0	33003	Amieva
2369.0	32002	Amoeiro
19587.0	48003	Amorebieta-Etxano
398.0	48004	Amoroto
3563.0	43906	Ampolla
21807.0	43014	Amposta
600.0	34010	Ampudia
4384.0	39002	Ampuero
10281.0	1002	Amurrio
415.0	34011	Amusco
99.0	47009	Amusquillo
33.0	44024	Anadón
126.0	40017	Anaya
185.0	37029	Anaya de Alba
1354.0	28012	Anchuelo
265.0	13017	Anchuras
332.0	31014	Ancín/Antzin
445.0	49009	Andavías
316.0	46038	Andilla
14504.0	20009	Andoain
7201.0	44025	Andorra
2818.0	31015	Andosilla
11735.0	7005	Andratx
36030.0	23005	Andújar
101.0	50028	Anento
5682.0	17008	Anglès
1350.0	25027	Anglesola
10.0	19031	Angón
446.0	26013	Anguciana
368.0	22027	Angüés
524.0	26014	Anguiano
155.0	19032	Anguita
162.0	9017	Anguix
267.0	39003	Anievas
659.0	50029	Aniñón
2583.0	46039	Anna
2079.0	20010	Anoeta
54.0	19033	Anquela del Ducado
26.0	19034	Anquela del Pedregal
406.0	22028	Ansó
10588.0	31016	Ansoáin/Antsoain
3339.0	4016	Antas
1918.0	27003	Antas de Ulla
1130.0	46040	Antella
41184.0	29015	Antequera
12940.0	35003	Antigua
333.0	24005	Antigua
347.0	34012	Antigüedad
136.0	22029	Antillón
2071.0	20011	Antzuola
490.0	31017	Anue
156.0	1049	Añana
69.0	40018	Añe
202.0	50030	Añón de Moncayo
1509.0	14006	Añora
605.0	31018	Añorbe
5225.0	45014	Añover de Tajo
89.0	37030	Añover de Tormes
2892.0	31019	Aoiz/Agoitz
338.0	37031	Arabayona de Mógica
8240.0	21007	Aracena
5623.0	38004	Arafo
117.0	22032	Aragüés del Puerto
19476.0	41011	Arahal
26.0	40019	Arahuetes
512.0	31020	Araitz
158.0	48005	Arakaldo
967.0	31025	Arakil
192.0	20012	Arama
1431.0	1003	Aramaio
71.0	31021	Aranarache/Aranaratxe
82.0	42024	Arancón
33172.0	9018	Aranda de Duero
132.0	50031	Aranda de Moncayo
287.0	50032	Arándiga
153.0	9019	Arandilla
9.0	16020	Arandilla del Arroyo
1837.0	15003	Aranga
12156.0	31023	Aranguren
59762.0	28013	Aranjuez
111.0	31024	Arano
591.0	31022	Arantza
401.0	48006	Arantzazu
358.0	19036	Aranzueque
162.0	12013	Arañuel
693.0	37032	Arapiles
154.0	31026	Aras
380.0	46041	Aras de los Olmos
278.0	9020	Arauzo de Miel
46.0	9021	Arauzo de Salce
74.0	9022	Arauzo de Torre
145.0	19037	Arbancón
2100.0	25029	Arbeca
19.0	19038	Arbeteta
1124.0	31027	Arbizu
2622.0	36001	Arbo
5604.0	43016	Arboç
4532.0	4017	Arboleas
122.0	43015	Arbolí
6474.0	17009	Arbúcies
1994.0	16905	Arcas
278.0	31028	Arce/Artzi
97.0	37033	Arcediano
447.0	49010	Arcenillas
19622.0	30009	Archena
396.0	29016	Árchez
8024.0	29017	Archidona
1004.0	45015	Arcicóllar
91.0	37034	Arco
42.0	34015	Arconada
171.0	40020	Arcones
1840.0	9023	Arcos
1507.0	42025	Arcos de Jalón
30953.0	11006	Arcos de la Frontera
220.0	49011	Arcos de la Polvorosa
73.0	16022	Arcos de la Sierra
117.0	44026	Arcos de las Salinas
1139.0	31029	Arcos
2520.0	29018	Ardales
74.0	50033	Ardisa
569.0	24006	Ardón
1249.0	48093	Areatza
156.0	31030	Arellano
318.0	22035	Arén
938.0	5013	Arenal
571.0	13903	Arenales de San Gregorio
1249.0	29019	Arenas
1734.0	39004	Arenas de Iguña
1031.0	13018	Arenas de San Juan
6465.0	5014	Arenas de San Pedro
623.0	18020	Arenas del Rey
53.0	42026	Arenillas
176.0	9024	Arenillas de Riopisuerga
214.0	44027	Arens de Lledó
16155.0	8006	Arenys de Mar
9278.0	8007	Arenys de Munt
267.0	26015	Arenzana de Abajo
36.0	26016	Arenzana de Arriba
6033.0	15004	Ares
173.0	12014	Ares del Maestrat
270.0	31031	Areso
7069.0	20013	Aretxabaleta
68.0	5015	Arevalillo
20.0	40021	Arevalillo de Cega
7884.0	5016	Arévalo
72.0	42027	Arévalo de la Sierra
6846.0	13019	Argamasilla de Alba
5849.0	13020	Argamasilla de Calatrava
57553.0	28014	Arganda del Rey
778.0	24007	Arganza
74.0	49012	Argañín
126.0	22036	Argavieso
70.0	19039	Argecilla
439.0	17010	Argelaguer
153.0	12015	Argelita
216.0	8008	Argençola
208.0	44028	Argente
126.0	43017	Argentera
12745.0	8009	Argentona
6829.0	45016	Argés
1848.0	39005	Argoños
2312.0	31032	Arguedas
153.0	22037	Arguis
133.0	16024	Arguisuelas
219.0	49013	Argujillo
48.0	31033	Aria
912.0	7901	Ariany
36.0	31034	Aribe
8754.0	38005	Arico
108.0	9025	Arija
665.0	44029	Ariño
1045.0	50034	Ariza
5397.0	23006	Arjona
3535.0	23007	Arjonilla
416.0	9026	Arlanzón
50.0	19040	Armallones
51.0	31035	Armañanzas
1043.0	17011	Armentera
182.0	37035	Armenteros
24629.0	18021	Armilla
235.0	1006	Armiñón
244.0	40022	Armuña
313.0	4018	Armuña de Almanzora
