,num,zipcode,name,latitude,longitude,geohash,geohash_5,geohash_6,population_bucket,population_bucket_label
2315,109.0,43046,Conesa,41.5190356,1.2913382,sp2u,sp2uj,sp2ujq,"(100, 500]",2
2316,282.0,3057,Confrides,38.6833155,-0.2684296,eyzu,eyzu1,eyzu1f,"(100, 500]",2
2317,1447.0,24057,Congosto,42.6175246,-6.5201227,eze6,eze67,eze67w,"(1000, 5000]",4
2318,147.0,34062,Congosto de Valdavia,42.715968,-4.6333358,ezse,ezsen,ezsen8,"(100, 500]",2
2319,13.0,19097,Congostrina,41.0370177,-2.9866265,ezmc,ezmck,ezmckn,"(0, 100]",1
2320,23497.0,11014,Conil de la Frontera,36.277054,-6.0881874,ey7w,ey7wm,ey7wmk,"(10000, 50000]",6
2321,380.0,14020,Conquista,-14.8567487,-40.8414804,7j6g,7j6gq,7j6gqx,"(100, 500]",2
2322,201.0,10066,Conquista de la Sierra,39.3509692,-5.7342844,eygz,eygzv,eygzve,"(100, 500]",2
2323,4230.0,7016,Consell,39.6685608,2.8134417,sp41,sp418,sp418j,"(1000, 5000]",4
2324,6685.0,43047,Constantí,41.1528113,1.2151822,sp2f,sp2f5,sp2f5e,"(5000, 10000]",5
2325,5779.0,41033,Constantina,36.3641642,6.6084281,snkw,snkwy,snkwy7,"(5000, 10000]",5
2326,101.0,5064,Constanzana,40.9383816,-4.8736983,ezk8,ezk8c,ezk8ch,"(100, 500]",2
2327,9886.0,45053,Consuegra,39.460918,-3.6070786,ezj2,ezj2m,ezj2mz,"(5000, 10000]",5
2328,31.0,50087,Contamina,41.3056691,-1.9175639,ezqd,ezqdu,ezqdur,"(0, 100]",1
2329,83.0,9110,Contreras,42.0197874,-3.4104416,ezmx,ezmx4,ezmx43,"(0, 100]",1
2330,194.0,49052,Coomonte,42.1162872,-5.8126344,ez7z,ez7ze,ez7zee,"(100, 500]",2
2331,34.0,19098,Copernal,40.867467,-3.0570732,ezmb,ezmb6,ezmb6r,"(0, 100]",1
2332,333.0,8071,Copons,41.6363657,1.5179333,sp3h,sp3hf,sp3hfe,"(100, 500]",2
2333,110.0,44082,Corbalán,40.4032092,-0.9852685,ezpm,ezpmc,ezpmce,"(100, 500]",2
2334,3097.0,46098,Corbera,39.1580768,-0.3540631,eyzw,eyzwz,eyzwzb,"(1000, 5000]",4
2335,15210.0,8072,Corbera de Llobregat,41.4166171,1.9338636,sp37,sp37s,sp37s5,"(10000, 50000]",6
2336,993.0,43048,Corbera d'Ebre,41.0775819,0.4776725,sp23,sp23d,sp23dv,"(500, 1000]",3
